date,race,horseCode,place,model_prob,public_prob,odds
2024-01-28,4,HK_2022_H443,12,0.03932299975927737,0.014530180774290673,56.0
2024-01-28,4,HK_2022_H087,10,0.018840316055901803,0.014530180774290673,56.0
2024-01-28,4,HK_2022_H312,5,0.013315290601271554,0.0387471487314418,21.0
2024-01-28,5,HK_2022_H360,11,0.10425521447931603,0.012237533032044473,67.0
2024-01-28,5,HK_2021_G412,4,0.08790722729217613,0.16398294262939594,5.0
2024-01-28,5,HK_2019_D359,6,0.08771536387451671,0.022775408698527212,36.0
2024-01-28,5,HK_2022_H090,1,0.10477341699823392,0.25622334785843115,3.2
2024-01-28,5,HK_2021_G307,8,0.11472539441791872,0.09010051792823953,9.1
2024-01-28,5,HK_2020_E351,10,0.08332035664926835,0.04823027724393998,17.0
2024-01-28,5,HK_2022_H163,12,0.09346193314714092,0.014907540239035994,55.0
2024-01-28,5,HK_2022_H214,9,0.06126798269874075,0.09212524866819996,8.9
2024-01-28,5,HK_2021_G339,3,0.0789829171244649,0.06832622609558164,12.0
2024-01-28,5,HK_2020_E244,13,0.05721607918424848,0.009424307047666433,87.0
2024-01-28,5,HK_2022_H213,2,0.06134761455904256,0.1366524521911633,6.0
2024-01-28,5,HK_2022_H160,7,0.03481539629760461,0.05856533665335569,14.0
2024-01-28,5,HK_2019_D164,5,0.017865394430811216,0.026448861714418702,31.0
2024-01-28,6,HK_2022_H126,13,0.10358122609492554,0.08142173342431983,10.0
2024-01-28,6,HK_2022_H364,3,0.09075189242549961,0.26265075298167684,3.1
2024-01-28,6,HK_2021_G166,5,0.08792670216315912,0.020355433356079956,40.0
2024-01-28,6,HK_2021_G416,10,0.10110083643058008,0.06785144452026652,12.0
2024-01-28,6,HK_2022_H358,14,0.10904085453587685,0.00894744323344174,91.0
2024-01-28,6,HK_2022_H322,6,0.08219735114997499,0.14803951531694515,5.5
2024-01-28,6,HK_2022_H485,2,0.08881956181850487,0.11002936949232407,7.4
2024-01-28,6,HK_2022_H347,7,0.06681458416487786,0.08481430565033315,9.6
2024-01-28,6,HK_2022_H489,11,0.07246700641419773,0.03540075366274775,23.0
2024-01-28,6,HK_2023_J063,9,0.0547181387436712,0.008481430565033315,96.0
2024-01-28,6,HK_2022_H325,4,0.06403354342950472,0.018504939414618143,44.0
2024-01-28,6,HK_2022_H384,8,0.0443603573517702,0.01163167620347426,70.0
2024-01-28,6,HK_2021_H012,1,0.01984434410788627,0.12336626276412095,6.6
2024-01-28,6,HK_2022_H271,12,0.014343601169570917,0.018504939414618143,44.0
2024-01-28,7,HK_2022_H069,8,0.11834770156325075,0.03748343721924423,22.0
2024-01-28,7,HK_2019_D476,6,0.1026415012883614,0.01249447907308141,66.0
2024-01-28,7,HK_2021_G221,12,0.09265459996672469,0.006200267810702053,133.0
2024-01-28,7,HK_2022_H340,5,0.10814192867897549,0.09061929877179924,9.1
2024-01-28,7,HK_2022_H167,3,0.11873023138054245,0.06871963490194775,12.0
2024-01-28,7,HK_2021_G275,14,0.0809227723162525,0.008867049664767453,93.0
2024-01-28,7,HK_2023_J110,13,0.08567374515255165,0.006108411991284245,135.0
2024-01-28,7,HK_2023_J171,11,0.06950749425771438,0.048507977577845474,17.0
2024-01-28,7,HK_2023_J008,1,0.05825774606895023,0.589025442016695,1.4
2024-01-28,7,HK_2020_E467,10,0.04010950124978907,0.006815170403498951,121.0
2024-01-28,7,HK_2022_H170,2,0.06011941510993938,0.0824635618823373,10.0
2024-01-28,7,HK_2022_H138,9,0.04773427257606732,0.026601148994302357,31.0
2024-01-28,7,HK_2021_G406,4,0.010423026477453743,0.006392524176925373,129.0
2024-01-28,7,HK_2021_G139,7,0.006736063913427093,0.009701595515569095,85.0
2024-01-28,8,HK_2021_G180,6,0.31857629782185887,0.6326154774819935,1.3
2024-01-28,8,HK_2019_D176,3,0.23450116019212505,0.11748573153237023,7.0
2024-01-28,8,HK_2019_D375,12,0.0675614009766705,0.01787826349405634,46.0
2024-01-28,8,HK_2019_D449,10,0.10038250608779964,0.007476364733878105,110.0
2024-01-28,8,HK_2020_E356,2,0.14691729701407538,0.041120006036329586,20.0
2024-01-28,8,HK_2021_G404,1,0.019682864719349005,0.021642108440173464,38.0
2024-01-28,8,HK_2018_C188,11,0.014982963795298692,0.006526985085131679,126.0
2024-01-28,8,HK_2022_H164,7,0.04117916809738104,0.06326154774819936,13.0
2024-01-28,8,HK_2019_D108,13,0.0005378067253470416,0.008224001207265916,100.0
2024-01-28,8,HK_2021_G161,9,8.339690640166702e-05,0.03575652698811268,23.0
2024-01-28,8,HK_2020_E392,8,0.006797526296937399,0.00790769346852492,104.0
2024-01-28,8,HK_2021_G045,5,0.048797501071452004,0.01787826349405634,46.0
2024-01-28,8,HK_2021_G265,4,9.971755781386622e-08,0.022227030289907884,37.0
2024-01-28,9,HK_2021_G426,1,0.12316206655893756,0.17261454746847768,4.7
2024-01-28,9,HK_2022_H446,10,0.10251264211866047,0.02617059268070468,31.0
2024-01-28,9,HK_2021_G434,4,0.09346476967316993,0.0737534884638041,11.0
2024-01-28,9,HK_2022_H075,7,0.11379011897305029,0.042699388057991845,19.0
2024-01-28,9,HK_2021_G452,5,0.1274603168669416,0.09325153713814313,8.7
2024-01-28,9,HK_2022_H331,13,0.08140627587315953,0.02386142273828956,34.0
2024-01-28,9,HK_2021_G225,9,0.08896599755478751,0.08112883731018451,10.0
2024-01-28,9,HK_2022_H289,8,0.06422172759851703,0.0737534884638041,11.0
2024-01-28,9,HK_2022_H400,12,0.05959482033631342,0.006817549353797018,119.0
2024-01-28,9,HK_2022_H123,6,0.03837557230327517,0.028974584753637324,28.0
2024-01-28,9,HK_2022_H192,2,0.056418890424748756,0.2535276165943266,3.2
2024-01-28,9,HK_2020_E245,14,0.03810091108045947,0.015307327794374435,53.0
2024-01-28,9,HK_2023_J053,3,0.007833021516445828,0.10269473077238545,7.9
2024-01-28,9,HK_2023_J109,11,0.0046928691215334046,0.005444888410079497,149.0
2024-01-28,10,HK_2021_G237,10,0.11882776012726035,0.029119516270998777,28.0
2024-01-28,10,HK_2021_G123,5,0.1011013949973676,0.08493192245707977,9.6
2024-01-28,10,HK_2022_H091,4,0.09261772080295573,0.06794553796566381,12.0
2024-01-28,10,HK_2022_H041,9,0.11017728920198308,0.07412240505345144,11.0
2024-01-28,10,HK_2021_G474,6,0.12188387233494201,0.05435643037253105,15.0
2024-01-28,10,HK_2022_H300,11,0.08153933878856713,0.1663972358342787,4.9
2024-01-28,10,HK_2020_E279,8,0.08795501224861729,0.13366335337507637,6.1
2024-01-28,10,HK_2022_H186,1,0.06661355962178632,0.2203639069156664,3.7
2024-01-28,10,HK_2022_H392,7,0.06086953050931365,0.02329561301679902,35.0
2024-01-28,10,HK_2022_H044,3,0.04104784640672624,0.07412240505345144,11.0
2024-01-28,10,HK_2021_G028,2,0.058892449535681866,0.005995194526382101,136.0
2024-01-28,10,HK_2022_H080,13,0.04232219894101288,0.047961556211056806,17.0
2024-01-28,10,HK_2023_J081,12,0.009897637754765622,0.017724922947564472,46.0
2024-01-31,1,HK_2021_G172,8,0.09778515413552948,0.16573038117491246,4.9
